"date","away","home","spread","vig","src","updated"
"04/2 07:15 PM","Warriors","Raptors","-4.0",-115,"bovada","04/2 02:16 PM"
"04/2 07:45 PM","Rockets","Celtics","-11.5",-110,"bovada","04/2 02:16 PM"
"04/2 07:45 PM","Mavericks","Knicks","6.0",-105,"bovada","04/2 02:16 PM"
"04/2 08:15 PM","Timberwolves","Grizzlies","-6.5",-110,"bovada","04/2 02:16 PM"
"04/2 08:15 PM","Hornets","Pacers","-4.5",-110,"bovada","04/2 02:16 PM"
"04/2 09:15 PM","Bulls","Jazz","-12.5",-110,"bovada","04/2 02:16 PM"
"04/2 09:15 PM","Hawks","Pelicans","-2.0",-110,"fanduel","04/2 02:19 PM"
"04/2 10:15 PM","Lakers","Kings","-4.5",-110,"bovada","04/2 02:16 PM"
"04/2 10:15 PM","Thunder","Suns","-13.0",-115,"bovada","04/2 02:16 PM"
"04/2 10:15 PM","Bucks","Trail Blazers","3.0",-110,"bovada","04/2 02:16 PM"